entity,id
http://smpdb.ca/pathways/#Protein/6308_Inner_Membrane,P11349
http://smpdb.ca/pathways/#Protein/1274_Cytosol,P45985
http://smpdb.ca/pathways/#Protein/6267_Inner_Membrane,P0AFD6
http://smpdb.ca/pathways/#Protein/827_Cytoplasm,Q8N142
http://smpdb.ca/pathways/#Protein/6262,P0AFC0
http://smpdb.ca/pathways/#Protein/5755,O43868
http://smpdb.ca/pathways/#Protein/19750_Cell_Membrane,Q80T30
http://smpdb.ca/pathways/#Protein/17276_Extracellular_Space,P23739
http://smpdb.ca/pathways/#Protein/11543_Chloroplast,Q39249
http://smpdb.ca/pathways/#Protein/2361_Mitochondrion,Q9NVH6
http://smpdb.ca/pathways/#Protein/13674_Cytoplasm,Q9D1A2
http://smpdb.ca/pathways/#Protein/Generic15_Endoplasmic_Reticulum,O00763
http://smpdb.ca/pathways/#Protein/5818_Inner_Membrane,P00363
http://smpdb.ca/pathways/#Protein/14367_Cytoplasm,Q14249
